Nearest Ensembl,Gene Name,Gene Type,crel_mouse Best Motif log-odds Score,p65_p50_mouse Best Motif log-odds Score,crel_p50_mouse Best Motif log-odds Score
ENSMUSG00000096139,Gm7978,protein-coding,2.200739,-0.370152,2.700392
ENSMUSG00000078619,Smarcd2,protein-coding,8.556234,6.582198,6.699982
ENSMUSG00000090659,Zfp493,protein-coding,3.782714,3.929967,6.427163
ENSMUSG00000014603,Alx3,protein-coding,4.525071,5.090039,6.737318
,LOC666331,protein-coding,3.141975,3.365144,1.085196
ENSMUSG00000025373,Rnf41,protein-coding,3.958392,2.105729,1.918314
ENSMUSG00000086010,LOC102631757,ncRNA,5.921591,5.368053,6.264364
ENSMUSG00000059810,Rgs3,protein-coding,5.921591,4.543877,7.416081
ENSMUSG00000002105,Slc39a13,protein-coding,8.406823,6.404342,6.264364
ENSMUSG00000041923,Nol4,protein-coding,6.179433,7.178645,5.86465
ENSMUSG00000053080,2700081O15Rik,protein-coding,6.477767,7.526718,8.508517
ENSMUSG00000023805,Synj2,protein-coding,6.858321,7.02373,8.532498
ENSMUSG00000079509,Zfx,protein-coding,3.782714,2.275636,3.836885
ENSMUSG00000052525,Spdya,protein-coding,2.886638,3.621985,3.177474
ENSMUSG00000029458,Brap,protein-coding,6.477767,-0.794549,0.717758
,Mrpl48,protein-coding,5.923992,4.708653,4.615339
ENSMUSG00000065581,Mir194-1,ncRNA,3.727739,3.323414,6.166104
ENSMUSG00000066007,Zfp600,protein-coding,8.409224,3.323414,3.563364
ENSMUSG00000058013,11-Sep,protein-coding,8.556234,3.964096,7.019765
ENSMUSG00000028840,Zfp593,protein-coding,4.712068,6.739616,6.39531
ENSMUSG00000064065,Ipcef1,protein-coding,7.655653,3.38047,6.803415
ENSMUSG00000064262,Gimap8,protein-coding,3.142079,5.665584,5.008704
ENSMUSG00000073424,Cyp4f15,protein-coding,8.300898,6.671919,7.467415
ENSMUSG00000102590,Mannr,ncRNA,6.176928,5.629091,6.420415
ENSMUSG00000041264,Uspl1,protein-coding,4.028579,4.019689,6.022074
ENSMUSG00000085562,2610028E06Rik,ncRNA,3.029037,2.762208,2.794611
ENSMUSG00000032717,Mdfi,protein-coding,6.107046,5.112357,5.475553
ENSMUSG00000062296,Trank1,protein-coding,0.692786,5.832973,6.022074
ENSMUSG00000092517,Art2a-ps,protein-coding,3.091849,6.491723,8.766016
,1600014C10Rik,protein-coding,3.11968,2.055023,3.639129
ENSMUSG00000007721,Ccdc124,protein-coding,7.506072,3.449908,4.653371
ENSMUSG00000015970,Chdh,protein-coding,4.026178,2.261308,3.761774
ENSMUSG00000033470,Cysltr2,protein-coding,5.371975,6.21567,7.467415
ENSMUSG00000023333,Gcm1,protein-coding,5.331216,6.304627,4.934813
ENSMUSG00000058690,Ccser2,protein-coding,9.054574,11.628886,10.074802
ENSMUSG00000031109,Enox2,protein-coding,8.409224,0.984943,4.240677
ENSMUSG00000059595,Olfr935,protein-coding,5.921591,4.130959,2.805534
ENSMUSG00000039578,Ccser1,protein-coding,3.142079,1.185286,0.912325
ENSMUSG00000026247,Ecel1,protein-coding,5.278747,4.241718,5.870574
ENSMUSG00000034157,Cipc,protein-coding,4.028579,4.674845,3.6101
ENSMUSG00000032263,Bckdhb,protein-coding,6.860722,3.295807,5.411625
ENSMUSG00000098954,Mir7658,ncRNA,4.028579,2.48549,4.690207
ENSMUSG00000060170,Olfr1371,protein-coding,2.79101,0.72815,3.045231
ENSMUSG00000053929,Cyhr1,protein-coding,8.409224,6.279203,6.111662
ENSMUSG00000054641,Mmrn1,protein-coding,8.406823,4.489514,5.468078
,Mcpt-ps1,pseudo,4.618299,3.944081,4.035795
ENSMUSG00000053846,Lipg,protein-coding,2.40989,2.876534,2.805534
ENSMUSG00000054966,Ifltd1,protein-coding,9.30991,3.283074,4.716608
ENSMUSG00000030111,A2m,protein-coding,10.786129,5.279033,7.730063
ENSMUSG00000021975,Ints9,protein-coding,3.782714,6.126328,8.45763
,Tmem44,protein-coding,6.10715,4.975224,5.391197
ENSMUSG00000052593,Adam17,protein-coding,3.782714,4.722981,4.299732
ENSMUSG00000022607,Ptk2,protein-coding,5.923992,5.744942,6.856966
ENSMUSG00000093118,Mir3083,ncRNA,2.146819,4.331123,5.314662
ENSMUSG00000035177,Nlrp2,protein-coding,4.577539,4.508228,5.888406
ENSMUSG00000101113,1700025B11Rik,ncRNA,5.276346,4.276759,4.734081
ENSMUSG00000022773,Ypel1,protein-coding,3.621919,1.479815,6.159925
ENSMUSG00000048482,Bdnf,protein-coding,6.858321,7.620178,7.573413
,Olfr915,protein-coding,2.092308,1.058923,0.18672
ENSMUSG00000030850,Ate1,protein-coding,4.63205,4.011275,4.006416
,Neat1,ncRNA,9.054574,6.205311,4.779489
ENSMUSG00000031556,Tm2d2,protein-coding,6.860722,6.825493,5.466876
ENSMUSG00000057329,Bcl2,protein-coding,7.15916,4.896728,6.474829
ENSMUSG00000025418,Bsnd,protein-coding,3.163566,3.102758,2.941552
ENSMUSG00000045427,Hnrnph2,protein-coding,5.924097,12.724023,11.675466
ENSMUSG00000054054,Olfr309,protein-coding,5.276346,1.875531,4.735377
ENSMUSG00000034255,Arhgap27,protein-coding,6.477767,4.600414,7.012289
ENSMUSG00000031971,Ccsap,protein-coding,3.069692,4.861363,6.399623
ENSMUSG00000047888,Tnrc6b,protein-coding,2.347644,0.645755,3.271267
ENSMUSG00000019774,Mtrf1l,protein-coding,9.991304,4.475607,3.726163
ENSMUSG00000107660,Gm6559,ncRNA,3.691696,1.083507,2.652737
ENSMUSG00000036951,C130079G13Rik,protein-coding,6.752396,5.121067,4.189992
,Gm9839,protein-coding,6.860827,4.61628,8.267524
ENSMUSG00000056999,Ide,protein-coding,5.371975,3.444056,3.063908
ENSMUSG00000047501,Cldn4,protein-coding,6.179329,5.610588,7.844963
ENSMUSG00000057722,Lepr,protein-coding,6.107046,4.073624,6.263068
ENSMUSG00000037058,Paip2,protein-coding,5.331216,2.32814,2.553618
ENSMUSG00000031167,Rbm3,protein-coding,2.388298,4.359703,3.563364
,Gm826,protein-coding,6.179433,6.146531,6.912122
ENSMUSG00000028944,Prkag2,protein-coding,6.104645,0.21586,5.323804
ENSMUSG00000036587,Fut7,protein-coding,6.179433,9.801725,9.278516
,Kif3a,protein-coding,6.860722,11.277855,10.237601
ENSMUSG00000024369,Nelfe,protein-coding,6.104645,4.748807,4.262529
ENSMUSG00000020400,Tnip1,protein-coding,10.786129,13.214021,12.320252
ENSMUSG00000091318,Gm5415,protein-coding,3.730245,4.750928,5.87187
ENSMUSG00000031845,Bco1,protein-coding,5.170421,10.817111,10.478594
,Gm9776,ncRNA,3.823368,6.452116,6.993521
ENSMUSG00000042254,Cilp,protein-coding,8.300898,10.507051,10.478594
ENSMUSG00000034800,Zfp661,protein-coding,5.423251,2.887145,5.870574
ENSMUSG00000029381,Shroom3,protein-coding,2.132962,8.186053,6.621147
ENSMUSG00000042148,Cox10,protein-coding,5.924097,5.69037,7.863732
ENSMUSG00000047117,Ankdd1b,protein-coding,5.331216,2.322506,4.886889
,Dlx6os1,ncRNA,3.782714,0.645304,2.492814
ENSMUSG00000022476,Polr3h,protein-coding,3.048852,3.013353,3.563364
ENSMUSG00000096019,Snord116,snoRNA,4.577539,1.878629,3.271267
ENSMUSG00000022952,Runx1,protein-coding,5.331216,7.587877,8.106021
ENSMUSG00000057346,Apol9a,protein-coding,3.730245,7.587877,8.106021
,9530020I12Rik,ncRNA,3.782714,2.259518,5.239794
ENSMUSG00000057181,5730455P16Rik,protein-coding,3.621919,3.555414,6.159925
ENSMUSG00000027330,Cdc25b,protein-coding,0.692786,3.262486,2.074489
,Mars2,protein-coding,3.069796,3.467043,6.092533
ENSMUSG00000000530,Acvrl1,protein-coding,3.142079,2.07304,2.928068
ENSMUSG00000029778,Adcyap1r1,protein-coding,2.347644,1.260818,2.942089
ENSMUSG00000034303,Ccdc15,protein-coding,2.200739,3.219344,3.478846
ENSMUSG00000025576,Rbfox3,protein-coding,3.621919,3.458618,6.158629
ENSMUSG00000029281,Smr2,protein-coding,5.57468,4.586819,7.416081
,Zfp616,protein-coding,9.054574,4.814704,5.815417
ENSMUSG00000025764,Jade1,protein-coding,9.237627,5.175958,7.657075
ENSMUSG00000044224,Dnajc21,protein-coding,5.371975,3.365144,6.496325
ENSMUSG00000029859,Epha1,protein-coding,2.446604,1.83571,4.470143
ENSMUSG00000012396,Nanog,protein-coding,3.782714,5.193214,5.648709
ENSMUSG00000079017,Ifi27l2a,protein-coding,4.028579,6.565868,6.427163
ENSMUSG00000061859,Inadl,protein-coding,5.423251,4.12927,4.734081
ENSMUSG00000030530,Furin,protein-coding,4.673929,3.800186,4.769726
ENSMUSG00000065470,Mir149,ncRNA,6.179433,3.593135,3.069926
ENSMUSG00000020823,Sec14l1,protein-coding,11.539806,8.608085,9.550066
ENSMUSG00000069248,Serpinb6e,protein-coding,5.331216,0.276465,3.761679
ENSMUSG00000099435,1700065I16Rik,pseudo,4.851235,6.513643,5.411625
ENSMUSG00000004709,Cd244,protein-coding,-0.10144,3.530428,5.771454
ENSMUSG00000095546,Gm10230,protein-coding,7.506072,7.926489,7.833175
ENSMUSG00000045427,Hnrnph2,protein-coding,5.924097,12.724023,11.675466
ENSMUSG00000009647,Mcu,protein-coding,5.577185,4.750928,6.432745
ENSMUSG00000034457,Eda2r,protein-coding,9.054574,5.704845,5.175704
ENSMUSG00000030647,Ndufc2,protein-coding,9.30991,3.481374,4.806972
ENSMUSG00000030924,2610020H08Rik,protein-coding,6.824679,8.694412,10.374156
ENSMUSG00000037503,Fam168b,protein-coding,7.655653,8.366331,9.169808
ENSMUSG00000020241,Col6a2,protein-coding,6.179329,3.521779,6.464472
ENSMUSG00000034555,Tex16,protein-coding,6.824679,2.86301,6.496325
ENSMUSG00000022132,Cldn10,protein-coding,2.845984,0.305053,1.640075
ENSMUSG00000041528,Rnf123,protein-coding,7.15916,4.483323,4.021536
ENSMUSG00000038039,Gcc2,protein-coding,6.858321,3.439318,7.416081
ENSMUSG00000020279,Il9r,protein-coding,2.539832,2.938848,3.499553
ENSMUSG00000004562,Arhgef40,protein-coding,4.618299,9.081786,7.840651
ENSMUSG00000026235,Epha4,protein-coding,5.924097,8.184325,7.863732
ENSMUSG00000045969,Ing1,protein-coding,2.474435,2.134011,3.100483
ENSMUSG00000055480,Zfp458,protein-coding,5.423251,3.10096,5.307187
ENSMUSG00000053475,Tnfaip6,protein-coding,8.300898,4.298461,4.975074
ENSMUSG00000075208,Olfr1019,protein-coding,-0.042301,0.888136,3.449023
ENSMUSG00000033392,Clasp2,protein-coding,5.331216,3.412759,2.553618
,Tmprss11b,protein-coding,5.276241,2.173971,4.888185
ENSMUSG00000022885,St6gal1,protein-coding,6.824679,6.130124,6.105644
ENSMUSG00000058070,Eml1,protein-coding,5.167915,3.988078,6.66686
ENSMUSG00000016503,Gtf3a,protein-coding,8.409329,6.641113,8.45763
ENSMUSG00000023467,Tulp2,protein-coding,6.222431,3.701214,6.563717
ENSMUSG00000007440,Pcdhac1,protein-coding,5.923992,1.307119,2.590454
ENSMUSG00000085169,Gm10785,ncRNA,5.425757,4.758205,6.14469
,Kcnj12,protein-coding,3.823368,3.060948,3.788653
ENSMUSG00000052833,Sae1,protein-coding,4.52267,1.054659,3.474671
ENSMUSG00000025558,Dock9,protein-coding,3.069692,2.376529,5.290681
ENSMUSG00000030922,Lyrm1,protein-coding,6.176928,2.438207,3.140295
ENSMUSG00000022237,Ankrd33b,protein-coding,11.539806,8.503121,9.278516
ENSMUSG00000049353,Rd3,protein-coding,3.10132,-0.130329,3.344585
ENSMUSG00000040433,Zbtb38,protein-coding,3.163566,5.268338,4.934813
,Rgr,protein-coding,2.198233,1.623129,3.715664
ENSMUSG00000033597,Caskin1,protein-coding,4.63205,6.927786,4.006416
ENSMUSG00000002908,Kcnn1,protein-coding,6.858321,4.100409,8.861422
,Olfr1274-ps,protein-coding,4.577539,4.501273,5.636365
ENSMUSG00000036782,Klhl13,protein-coding,2.198233,6.919051,6.692507
ENSMUSG00000047777,Phf13,protein-coding,3.823368,3.634563,6.531865
ENSMUSG00000093871,Gm4187,protein-coding,3.694202,4.329749,6.022074
ENSMUSG00000030000,Add2,protein-coding,3.782714,2.997834,3.996749
ENSMUSG00000004609,Cd33,protein-coding,5.923992,4.224029,4.021536
ENSMUSG00000007035,Msh5,protein-coding,3.823368,5.625888,4.313389
ENSMUSG00000049577,Zfpm1,protein-coding,4.577539,4.011691,4.192445
ENSMUSG00000041264,Uspl1,protein-coding,4.028579,4.019689,6.022074
ENSMUSG00000019961,Tmpo,protein-coding,4.851235,5.181576,6.496325
ENSMUSG00000031958,Ldhd,protein-coding,9.991304,3.740614,2.84437
ENSMUSG00000055194,Actbl2,protein-coding,6.176928,7.926489,7.833175
ENSMUSG00000020831,0610010K14Rik,protein-coding,5.278747,4.637435,4.886889
ENSMUSG00000020704,Asic2,protein-coding,3.029037,6.599333,8.013806
,Hist1h2ah,protein-coding,3.782714,1.530185,1.95797
ENSMUSG00000098544,Mir7211,ncRNA,2.347644,6.165589,4.806972
ENSMUSG00000034349,Smc4,protein-coding,8.707662,3.366603,1.638188
ENSMUSG00000024233,Lyzl1,protein-coding,6.179329,7.926489,7.833175
ENSMUSG00000096141,Dnah7a,protein-coding,5.331216,2.344181,3.868738
ENSMUSG00000069085,Dytn,protein-coding,2.198233,3.414217,5.63219
ENSMUSG00000049130,C5ar1,protein-coding,5.331216,3.722594,6.425866
ENSMUSG00000098675,Mir6364,ncRNA,3.10132,4.677368,4.021536
ENSMUSG00000033419,Snap91,protein-coding,3.029037,4.875691,4.888185
ENSMUSG00000060771,Tsga10,protein-coding,3.782714,4.392672,1.031742
ENSMUSG00000048231,H2-M10.4,protein-coding,6.104645,7.013333,3.602624
ENSMUSG00000070458,Vmn2r73,protein-coding,4.375595,11.997794,11.675466
ENSMUSG00000039936,Pik3cd,protein-coding,3.089448,2.491744,3.602624
ENSMUSG00000033111,3830406C13Rik,protein-coding,8.556234,7.374761,8.369699
ENSMUSG00000077896,Mir879,ncRNA,3.141975,4.450506,5.636365
ENSMUSG00000035208,Slfn8,protein-coding,6.752396,5.580037,6.563717
ENSMUSG00000022336,Eif3e,protein-coding,3.142079,0.968237,3.203875
ENSMUSG00000056851,Pcbp2,protein-coding,5.167915,0.110206,3.482146
ENSMUSG00000086690,4933406J10Rik,ncRNA,3.782714,1.54927,0.969051
ENSMUSG00000106252,Mir684-1,ncRNA,3.10132,4.544989,7.012289
ENSMUSG00000022892,App,protein-coding,2.886638,2.553348,3.775684
,Sntg1,protein-coding,3.10132,4.183202,3.177474
ENSMUSG00000035033,Tbr1,protein-coding,4.577539,4.785969,4.972195
ENSMUSG00000027952,Pmvk,protein-coding,2.886743,3.809824,2.961218
ENSMUSG00000024829,Mrpl21,protein-coding,3.069796,2.956958,3.539912
ENSMUSG00000105987,AI506816,ncRNA,5.425757,7.589336,8.79226
ENSMUSG00000032503,Arpp21,protein-coding,5.425757,0.3718,5.050984
ENSMUSG00000001017,Chtop,protein-coding,4.028683,6.66538,6.416239
ENSMUSG00000066263,Olfr639,protein-coding,5.331216,2.399857,3.955627
ENSMUSG00000071172,Srsf3,protein-coding,4.522565,-0.345837,2.652832
ENSMUSG00000045103,Dmd,protein-coding,3.141975,8.185783,7.833175
ENSMUSG00000048473,Gm766,protein-coding,3.782714,3.522111,2.652832
ENSMUSG00000036820,Amdhd2,protein-coding,7.506072,2.061197,3.94231
ENSMUSG00000022471,Xrcc6,protein-coding,11.539806,9.640199,9.551362
ENSMUSG00000051652,Lrrc3,protein-coding,2.974063,6.598217,5.745073
ENSMUSG00000094759,Gm10487,protein-coding,7.506072,7.926489,7.833175
ENSMUSG00000058655,Eif4b,protein-coding,3.083548,-0.12293,1.108277
ENSMUSG00000062433,Krtap6-2,protein-coding,7.15916,3.744063,4.647192
ENSMUSG00000027641,Rbl1,protein-coding,4.375595,5.996255,6.692507
,Ap4m1,protein-coding,6.10715,7.129237,8.928815
ENSMUSG00000028560,Usp1,protein-coding,3.727739,0.844675,3.22971
ENSMUSG00000031816,Mthfsd,protein-coding,6.10715,2.697048,6.562421
ENSMUSG00000065512,Mir138-2,ncRNA,7.655653,3.739527,6.803415
ENSMUSG00000011884,Gltp,protein-coding,0.82781,3.323414,3.563364
ENSMUSG00000101505,1700109G14Rik,ncRNA,2.347644,4.490372,3.6101
ENSMUSG00000090966,Vmn2r116,protein-coding,3.823473,2.191276,5.050984
ENSMUSG00000076309,Mir147,ncRNA,5.924097,5.684736,7.086574
ENSMUSG00000065405,Mir30a,ncRNA,3.823368,7.674882,8.388468
ENSMUSG00000063409,Lrrc43,protein-coding,4.577539,5.314855,5.245015
ENSMUSG00000044600,Smim7,protein-coding,5.425652,3.988714,7.657075
ENSMUSG00000036769,Wdr44,protein-coding,3.782714,0.119905,1.992928
,Mrps5,protein-coding,8.556234,3.444056,5.468078
ENSMUSG00000048249,Crebrf,protein-coding,3.727844,5.322274,5.175806
ENSMUSG00000015937,H2afy,protein-coding,7.655653,3.997363,6.024961
ENSMUSG00000005891,Prl4a1,protein-coding,5.167915,5.063255,7.467415
ENSMUSG00000019888,Mgat4c,protein-coding,2.845984,2.378961,3.762975
ENSMUSG00000049928,Glp2r,protein-coding,5.278747,5.342651,5.870574
ENSMUSG00000051335,Gfod1,protein-coding,6.179433,3.844712,4.386134
ENSMUSG00000031169,Porcn,protein-coding,11.539806,4.947044,5.24362
ENSMUSG00000016028,Celsr1,protein-coding,3.069692,-0.362103,1.921318
ENSMUSG00000052139,Bre,protein-coding,5.923992,3.133308,4.712433
ENSMUSG00000024921,Smarca2,protein-coding,6.10715,9.730701,10.374156
ENSMUSG00000074446,Defa23,protein-coding,2.200634,3.833211,4.326113
ENSMUSG00000094539,Olfr191,protein-coding,5.924097,12.724023,11.675466
ENSMUSG00000034101,Ctnnd1,protein-coding,8.409329,8.338426,9.310369
ENSMUSG00000061877,BC048679,protein-coding,4.63205,3.620198,5.327979
ENSMUSG00000005045,Chd5,protein-coding,6.071002,0.797026,1.526768
ENSMUSG00000025278,Flnb,protein-coding,3.694202,4.47585,5.070465
ENSMUSG00000078600,1700092K14Rik,ncRNA,2.444098,1.530971,2.105967
ENSMUSG00000022875,Kng1,protein-coding,6.107046,3.722916,4.029011
ENSMUSG00000016626,Nlrp14,protein-coding,4.63205,2.746808,4.961757
,4930571O06Rik,ncRNA,5.170316,5.393597,5.870668
ENSMUSG00000094542,Vmn1r149,protein-coding,3.694202,3.017046,3.095761
ENSMUSG00000074247,Dda1,protein-coding,1.540946,0.797026,5.951972
ENSMUSG00000015846,Rxra,protein-coding,3.782714,3.937032,4.72206
ENSMUSG00000034906,Ncaph,protein-coding,8.409224,2.999856,4.270004
ENSMUSG00000028737,Aldh4a1,protein-coding,3.694202,1.328795,2.948268
,Tcl1b3,protein-coding,3.621814,3.523151,4.330289
ENSMUSG00000030695,Aldoa,protein-coding,4.028579,2.92282,1.230093
,Rpl11,protein-coding,3.694202,3.323414,4.920012
ENSMUSG00000027353,Mcm8,protein-coding,3.344784,2.93323,6.06068
,BC018473,ncRNA,11.539806,3.431609,3.342772
ENSMUSG00000023973,Cnpy3,protein-coding,4.712068,0.105577,0.452252
ENSMUSG00000027643,Ghrh,protein-coding,2.976569,2.838973,5.612108
ENSMUSG00000067795,4930444P10Rik,protein-coding,5.276241,4.404581,4.888185
ENSMUSG00000031099,Smarca1,protein-coding,6.179433,3.909356,3.6101
ENSMUSG00000042846,Lrrtm3,protein-coding,0.991329,5.366038,6.022074
ENSMUSG00000020307,Cdc34,protein-coding,4.028579,2.39014,2.773682
ENSMUSG00000002332,Dhrs1,protein-coding,8.409224,5.789204,5.466876
,Gm14434,protein-coding,3.347185,2.154392,2.429576
ENSMUSG00000035390,Brsk1,protein-coding,4.525071,8.048163,7.987562
ENSMUSG00000096744,Gm4307,protein-coding,5.425652,1.523255,0.508326
ENSMUSG00000038521,C1s1,protein-coding,6.860722,8.248968,7.851007
ENSMUSG00000035131,Brinp3,protein-coding,6.179433,4.171742,4.002767
ENSMUSG00000033326,Kdm4a,protein-coding,9.237627,4.589599,5.815417
ENSMUSG00000039375,Wdr17,protein-coding,0.895596,-1.018092,0.104534
ENSMUSG00000073110,Olfr444,protein-coding,4.52267,2.090948,3.028978
ENSMUSG00000021930,Spryd7,protein-coding,7.655653,7.481354,6.026257
ENSMUSG00000003344,Btbd2,protein-coding,0.991329,3.013353,3.563364
ENSMUSG00000037570,Mcrs1,protein-coding,9.991304,6.075507,2.947709
ENSMUSG00000002059,Rab34,protein-coding,3.018398,6.288156,5.745073
ENSMUSG00000050473,Slc35d3,protein-coding,5.604912,9.269956,10.615149
ENSMUSG00000056812,St8sia3,protein-coding,2.200739,7.013333,8.766016
ENSMUSG00000064390,Rnu73b,snRNA,6.179433,0.952488,2.054212
ENSMUSG00000065429,Mir345,ncRNA,3.10132,0.861799,3.465529
ENSMUSG00000040097,Flywch1,protein-coding,7.15916,0.373608,0.78858
,Eldr,ncRNA,7.653147,4.097655,5.87187
ENSMUSG00000026544,Dusp23,protein-coding,3.163566,3.673787,4.240677
ENSMUSG00000024500,Ppp2r2b,protein-coding,0.82781,0.373608,2.194137
ENSMUSG00000022604,Cep97,protein-coding,2.845984,3.294834,4.443762
ENSMUSG00000025479,Cyp2e1,protein-coding,11.539806,4.088903,3.730363
ENSMUSG00000040412,5330417C22Rik,protein-coding,2.241393,5.069265,5.647412
ENSMUSG00000061613,U2af1,protein-coding,-0.046929,-1.455493,5.049688
,Gmfg,protein-coding,1.447063,5.580037,6.408394
ENSMUSG00000038611,Phrf1,protein-coding,5.923992,2.725636,1.805216
ENSMUSG00000002885,Adgre5,protein-coding,6.107046,0.373608,3.199699
ENSMUSG00000024273,2700062C07Rik,protein-coding,3.782714,0.626876,2.559089
ENSMUSG00000041891,Lman1,protein-coding,5.37187,3.522111,5.555655
,4930526I15Rik,ncRNA,5.278747,4.439409,6.135548
ENSMUSG00000026276,2-Sep,protein-coding,3.347185,5.1293,8.45763
ENSMUSG00000021662,Arhgef28,protein-coding,6.752396,0.280528,5.019131
ENSMUSG00000024235,Map3k8,protein-coding,11.539806,6.616267,8.928815
ENSMUSG00000080533,Mir1191,ncRNA,9.991304,7.728818,8.629461
,Stmn1-rs1,pseudo,6.179433,2.243287,4.474319
ENSMUSG00000074449,Gm15319,protein-coding,1.487717,3.214804,4.72206
ENSMUSG00000060491,4930522H14Rik,protein-coding,2.388403,2.401462,7.397313
ENSMUSG00000027257,Pacsin3,protein-coding,5.425757,3.808365,4.449944
ENSMUSG00000074652,Myh7b,protein-coding,4.851235,6.718578,6.696683
,Zfp78,protein-coding,1.720654,5.417727,3.726163
ENSMUSG00000079677,Fdx1l,protein-coding,5.057004,4.042588,6.145905
ENSMUSG00000020758,Itgb4,protein-coding,0.656848,4.947495,5.815417
ENSMUSG00000028381,Ugcg,protein-coding,4.028579,6.490429,8.508517
ENSMUSG00000074754,Gm561,protein-coding,9.054574,4.384007,3.866212
ENSMUSG00000009563,Tor2a,protein-coding,4.522565,3.09966,2.33305
ENSMUSG00000028980,H6pd,protein-coding,5.425757,0.884509,0.355127
ENSMUSG00000102096,1700101O22Rik,ncRNA,8.707662,2.922195,4.254753
ENSMUSG00000095716,Gm14351,protein-coding,9.054574,3.245354,3.625124
ENSMUSG00000036278,Macrod1,protein-coding,5.170316,4.4906,5.466876
ENSMUSG00000028830,AU040320,protein-coding,3.823473,2.93323,2.53776
ENSMUSG00000074919,Gm10787,ncRNA,3.083548,0.643846,3.209326
ENSMUSG00000023942,Slc29a1,protein-coding,3.083548,7.310117,7.573413
ENSMUSG00000036473,Tbc1d24,protein-coding,3.619413,1.800984,2.278101
,Sycp1-ps1,pseudo,3.141975,7.149494,7.833175
ENSMUSG00000021385,Ippk,protein-coding,5.923992,6.273828,4.490572
ENSMUSG00000071265,1700086L19Rik,ncRNA,6.860827,6.687704,8.26882
,Ggct,protein-coding,3.782714,6.08566,6.176542
ENSMUSG00000073111,Olfr446,protein-coding,11.539806,6.357684,7.468711
ENSMUSG00000033335,Dnm2,protein-coding,3.347185,4.767844,7.07753
ENSMUSG00000052151,Plpp2,protein-coding,3.046346,4.183202,5.991518
ENSMUSG00000029207,Apbb2,protein-coding,6.222431,3.698611,3.765423
ENSMUSG00000035540,Gc,protein-coding,2.329872,2.151278,3.314028
ENSMUSG00000052337,Immt,protein-coding,4.712068,2.85118,4.653371
ENSMUSG00000045045,Lrfn4,protein-coding,6.860722,8.474941,9.033253
ENSMUSG00000047026,Acsm4,protein-coding,1.446958,2.464453,1.329212
ENSMUSG00000025451,Paip1,protein-coding,2.200739,4.40624,8.698623
ENSMUSG00000006378,Gcat,protein-coding,5.425652,2.152015,3.115689
ENSMUSG00000024851,Pitpnm1,protein-coding,5.371975,2.632355,5.049688
ENSMUSG00000020081,Tacr2,protein-coding,3.727739,3.323414,3.715664
ENSMUSG00000009927,Rps25,protein-coding,0.649731,1.544122,5.564797
ENSMUSG00000070983,Olfr270,protein-coding,9.30991,6.87276,6.912122
ENSMUSG00000094759,Gm10487,protein-coding,7.506072,7.926489,7.833175
ENSMUSG00000024335,Brd2,protein-coding,4.525071,6.361859,7.467415
ENSMUSG00000097102,2310069G16Rik,ncRNA,2.499072,3.109297,3.602624
ENSMUSG00000050315,Synpo2,protein-coding,4.373089,5.059079,7.468711
ENSMUSG00000042772,Smg7,protein-coding,2.241393,3.928508,5.648709
ENSMUSG00000020089,Ppa1,protein-coding,5.923992,4.708653,4.490572
ENSMUSG00000022565,Plec,protein-coding,0.895596,3.078788,2.079237
ENSMUSG00000101959,Ldhal6b,protein-coding,7.15916,2.413914,4.262529
ENSMUSG00000040455,Usp45,protein-coding,2.474435,2.129836,2.052916
ENSMUSG00000096918,Gm16863,ncRNA,5.331216,2.32814,4.72206
ENSMUSG00000002578,Ikzf4,protein-coding,3.091954,6.515371,5.210764
ENSMUSG00000041550,Serpina5,protein-coding,5.57468,3.839402,4.567107
ENSMUSG00000094941,Gm15093,protein-coding,5.170421,6.736598,6.159925
ENSMUSG00000070493,Chchd2,protein-coding,8.409224,1.166171,4.439238
ENSMUSG00000050855,Zfp940,protein-coding,5.604912,4.156925,6.158629
ENSMUSG00000024989,Cep55,protein-coding,0.030583,2.72199,3.482146
ENSMUSG00000040212,Emp3,protein-coding,8.707662,4.003356,6.091236
,Itgbl1,protein-coding,3.730245,5.532099,5.870574
ENSMUSG00000025162,Csnk1d,protein-coding,3.142079,7.026202,6.159222
ENSMUSG00000034543,Morc2a,protein-coding,7.15916,2.201707,3.199699
ENSMUSG00000062960,Kdr,protein-coding,6.176928,4.271296,6.736022
ENSMUSG00000093848,Gm20865,protein-coding,3.782714,1.380474,1.110252
ENSMUSG00000041220,Elovl6,protein-coding,6.752396,6.732423,5.208316
ENSMUSG00000062028,Irgc1,protein-coding,5.167915,9.251936,9.033253
ENSMUSG00000036893,Ehmt1,protein-coding,3.782714,0.479114,1.874283
ENSMUSG00000095445,Gm14475,protein-coding,7.653147,4.403967,4.666321
ENSMUSG00000059327,Eda,protein-coding,6.10715,4.392672,6.563717
,Gm21002,protein-coding,3.694097,4.014862,7.657075
ENSMUSG00000025855,Prkar1b,protein-coding,1.297482,2.376529,5.568972
ENSMUSG00000065176,Rnu12,snRNA,2.295175,-2.080095,0.561756
ENSMUSG00000016319,Slc25a5,protein-coding,9.30991,0.6112,2.622307
ENSMUSG00000018068,Ints2,protein-coding,5.921591,9.027422,8.629461
ENSMUSG00000022514,Il1rap,protein-coding,5.425757,1.265487,2.910236
,Gm5891,protein-coding,5.423251,6.066448,4.572578
